Dép.;Code;Nom de la commune;Population;Taux communaux;;;;;Taux intercommunaux;;;;
;;;totale;;;;;;;;;;
;;;au 1/1/2006;taxe d'habitation;foncier bâti;foncier non bâti;taxe professionnelle(*);TEOM;taxe d'habitation;foncier bâti;foncier non bâti;taxe professionnelle(*);TEOM
1;1004;Ambérieu-en-Bugey;11 927;10,68;16,6;42,03;-8,67;-;-;-;-;7,94;6,63
1;1033;Bellegarde-sur-Valserine;11 329;13,95;18,2;50,51;17,4;-;1,4;1,76;3,83;1,66;11,3
1;1053;Bourg-en-Bresse;43 008;18,63;20,59;68,64;-;-;-;-;-;15,19;6,18
1;1283;Oyonnax;24 636;17,97;24,97;87,54;-14,47;10,6;-;-;-;13,99;-
2;2168;Château-Thierry;15 729;18,04;22,38;45,74;-14,56;-;-;-;-;13,02;6,77
2;2173;Chauny;13 109;15;19;36,44;-13,59;-;-;-;-;13,72;3,37
2;2381;Hirson;10 775;18,6;28,65;68,82;-13,7;-;-;-;-;12,67;12,5
2;2408;Laon;27 878;25,22;28,51;41,36;12,32;-;4,74;5,24;6,41;3,08;-
2;2691;Saint-Quentin;61 092;22,43;33,41;52,83;-19,22;-;-;-;-;18,21;9,63
2;2722;Soissons;30 672;16,53;23,76;93,73;-14,41;-;-;-;-;13,75;8,53
2;2738;Tergnier;15 289;17,01;23,16;49,98;-14,19;-;-;-;-;13,72;3,37
2;2810;Villers-Cotterêts;10 123;19,88;23,33;78,2;-11,5;-;-;-;-;11,49;11,8
3;3095;Cusset;13 975;15,12;17,7;37,45;-18,07;-;0,3;0,38;0,75;16,2;6,46
3;3185;Montluçon;44 074;15,51;27,55;46,92;-20,83;-;-;-;-;18,21;4,81
3;3190;Moulins;22 667;17,59;18,68;44,74;-16,94;-;-;-;-;16,06;7,08
3;3310;Vichy;26 915;16,56;21,7;24,52;-22,94;-;0,3;0,38;0,75;16,2;6,46
3;3310;Vichy;;-;-;-;-;-;0,12;0,16;0,18;0;-
3;3321;Yzeure;13 262;17,57;18,79;47,3;-16,04;-;-;-;-;16,06;6,51
4;4070;Digne-les-Bains;17 680;21,61;44,68;81,75;-27,4;-;-;-;-;27,35;14
4;4112;Manosque;20 309;17,4;27,96;64,99;-21,03;-;-;-;-;20,84;9,08
5;5023;Briançon;11 287;18,25;42,62;173,26;-20,8;-;1,12;2,6;9,66;18,38;10,5
5;5061;Gap;38 612;11,82;33,79;117,12;16,69;10;-;-;-;-;-
6;6004;Antibes;73 383;14,35;16,7;13,49;-18,33;-;-;-;-;16,25;8,59
6;6012;Beausoleil;12 876;20,61;21,79;31,69;-;-;-;-;-;24,78;9,95
6;6027;Cagnes-sur-Mer;44 207;16,98;12,13;19,99;-18,48;-;-;-;-;21,02;-
6;6027;Cagnes-sur-Mer;;-;-;-;-;-;1,77;1,27;2,09;0;10,9
6;6029;Cannes;68 214;19,72;17,5;13,56;22,97;12,25;-;-;-;-;-
6;6030;Le Cannet;42 492;18,9;15,27;12,81;18,41;14,6;-;-;-;-;-
6;6033;Carros;10 762;17,74;17,06;63,28;-;-;-;-;-;17,19;10,8
6;6069;Grasse;44 790;17,92;18,45;14,7;-22,33;-;-;-;-;20,95;16,45
6;6079;Mandelieu-la-Napoule;18 038;14,98;13,13;17,1;17,99;7,8;0,04;0,04;0,05;0,08;-
6;6083;Menton;29 266;18,02;15,61;23,31;-;-;-;-;-;24,78;8,61
6;6085;Mougins;18 412;14,95;12,44;51,05;14,86;11,98;0,06;0,05;0,22;0,09;-
6;6088;Nice;345 892;18,58;20,14;31,44;-21,9;-;-;-;-;21,02;10,9
6;6104;Roquebrune-Cap-Martin;11 966;13,89;11,69;12,65;-;-;-;-;-;24,78;10,2
6;6123;Saint-Laurent-du-Var;27 252;13,61;12,83;14,1;-19,04;-;-;-;-;21,02;10,9
6;6123;Saint-Laurent-du-Var;;-;-;-;-;-;1,5;1,34;1,55;0;-
6;6149;La Trinité;10 091;19,84;15,21;26,97;-25,3;-;-;-;-;21,02;10,9
6;6149;La Trinité;;-;-;-;-;-;2,47;1,89;3,36;0;-
6;6152;Valbonne;11 244;12,43;5,66;31,04;-16,52;-;-;-;-;16,25;8,59
6;6155;Vallauris;25 931;16,57;16,94;12,31;-17,57;-;-;-;-;16,25;8,59
6;6157;Vence;17 184;16,1;13,52;11,12;-19,54;-;-;-;-;21,02;10,9
6;6161;Villeneuve-Loubet;13 104;9;9;10,29;-12,28;-;-;-;-;16,25;8,12
6;6161;Villeneuve-Loubet;;-;-;-;-;-;0,89;0,89;1,02;0;-
7;7010;Annonay;18 233;20,05;25,02;93,96;15,98;-;2,12;2,37;10,01;1,58;9,79
7;7019;Aubenas;12 152;9,96;20,87;109,76;16,42;-;1,27;2,66;8,59;1,82;8,92
7;7102;Guilherand-Granges;10 880;13,76;14,68;50,41;-15;-;0,34;0,39;1,56;15,09;-
7;7102;Guilherand-Granges;;-;-;-;-;-;-;-;-;-;6,09
7;7324;Tournon-sur-Rhône;10 607;13,85;19,7;91,7;-;-;-;-;-;13,1;7,94
8;8105;Charleville-Mézières;58 092;19,62;31,64;71,9;-15,97;-;-;-;-;11,58;10,98
8;8409;Sedan;21 117;15,84;31,13;74,47;19,41;-;6,94;4,21;3,07;2,19;-
9;9225;Pamiers;15 013;11,66;19,82;81,95;20,08;-;2,42;3,96;16;4,83;10,12
10;10081;La Chapelle-Saint-Luc;14 628;16,5;17,99;18,36;-13,06;9,16;-;-;-;13,75;-
10;10323;Romilly-sur-Seine;15 004;23,19;31,38;23,91;12,83;-;2,6;3,65;2,18;1,48;11,31
10;10333;Saint-André-les-Vergers;11 297;17,54;27,73;55,02;-13,51;8,51;-;-;-;13,75;-
10;10362;Sainte-Savine;10 531;14,59;23,22;34,68;-12,95;10,2;-;-;-;13,75;-
10;10387;Troyes;62 612;18,15;24,36;17,45;-14,65;9,97;-;-;-;13,75;-
11;11069;Carcassonne;46 216;15,23;39,82;107,99;-;-;-;-;-;21,33;10,11
11;11076;Castelnaudary;11 613;12,61;33,66;93,24;-17,35;-;-;-;-;17,06;14,33
11;11076;Castelnaudary;;-;-;-;-;-;0,09;0,24;0,68;0;-
11;11206;Limoux;10 169;12,84;33,17;88,74;-20,18;-;-;-;-;19,85;18,61
11;11262;Narbonne;48 020;11,44;28,63;67,79;-14,37;-;-;-;-;14,54;10,44
12;12145;Millau;22 280;19,06;29,98;139,17;-20,46;-;-;-;-;19,58;9,04
12;12176;Onet-le-Château;10 607;8,57;24,19;91,88;-16,68;-;-;-;-;17,4;7,05
12;12202;Rodez;26 367;18,13;28,94;97,73;-19,28;-;-;-;-;17,4;6,99
12;12300;Villefranche-de-Rouergue;13 078;9,92;19,48;82,36;-15,41;-;-;-;-;15,15;7
