Dép.;Code;Nom de la commune;Population totale au 01-01-2007;Taux communaux;;;;;Taux intercommunaux;;;;


;;;;taxe d'habi- tation;foncier bâti;foncier non bâti;taxe professionnelle(*);TEOM;taxe d'habi- tation;foncier bâti;foncier non bâti;taxe professionnelle;TEOM
1;1004;Ambérieu-en-Bugey;11927;10,68;16,6;42,03;;;;;;7,94;6,77
1;1033;Bellegarde-sur-Valserine;11329;13,95;18,2;50,51;17,4;;1,45;1,82;3,96;1,72;11,3
1;1053;Bourg-en-Bresse;43008;18,63;20,59;68,64;;;;;;15,19;6,37
1;1283;Oyonnax;24636;17,97;24,97;87,54;;10,6;;;;13,99;
2;2168;Château-Thierry;15729;18,04;22,38;45,74;14,32;;;;;13,02;7,98
2;2173;Chauny;13109;15;19;36,44;13,61;;;;;13,72;3,37
2;2381;Hirson;10775;18,6;28,65;68,82;13,51;;;;;12,67;12,5
2;2408;Laon;27878;25,22;28,51;41,36;14,52;;4,74;5,24;6,41;3,08;
2;2691;Saint-Quentin;61092;22,61;33,68;53,26;19,08;;;;;18,43;11,07
2;2722;Soissons;30672;16,53;23,76;93,73;;;;;;13,75;8,84
2;2738;Tergnier;15289;17,01;23,16;49,98;14,1;;;;;13,72;3,37
2;2810;Villers-Cotterêts;10123;19,94;23,4;78,43;;;;;;11,53;11,8
3;3095;Cusset;13975;15,12;17,7;37,45;17,77;;0,303;0,384;0,747;16,2;6,46
3;3185;Montluçon;44074;15,51;27,55;46,92;20,36;;;;;18,21;5,54
3;3190;Moulins;22667;17,59;18,68;44,74;16,66;;;;;16,06;7,46
3;3310;Vichy;26915;16,56;21,7;24,52;21,83;;0,303;0,384;0,747;16,2;6,46
3;3310;Vichy;0;0;0;0;0;0;0,12;0,157;0,178;0;
3;3321;Yzeure;13262;17,57;18,79;47,3;;;;;;16,06;6,9
4;4070;Digne-les-Bains;17680;21,61;44,68;81,75;27,38;;;;;27,35;14
4;4112;Manosque;20309;17,4;27,96;64,99;;;;;;20,84;9,33
5;5023;Briançon;11287;18,25;42,62;173,26;20,36;;1,12;2,6;9,66;18,38;10,5
5;5061;Gap;38612;11,96;34,2;118,53;16,89;9,4;;;;;
6;6004;Antibes;73383;14,35;16,7;13,49;18,03;;;;;16,25;8,59
6;6012;Beausoleil;12876;20,61;21,79;31,69;;;;;;24,78;9,95
6;6027;Cagnes-sur-Mer;44207;16,98;12,13;19,99;18,83;;;;;21,02;10,9
6;6027;Cagnes-sur-Mer;0;0;0;0;0;0;1,71;1,22;2,01;0;
6;6029;Cannes;68214;19,72;17,5;13,56;22,97;12,25;;;;;
6;6030;Le Cannet;42492;18,9;15,27;12,81;18,41;14,6;;;;;
6;6033;Carros;10762;18,09;17,4;64,55;;;;;;17,72;11,68
6;6069;Grasse;44790;17,92;18,45;14,7;22,16;;;;;20,95;16,86
6;6079;Mandelieu-la-Napoule;18038;14,98;13,13;17,1;17,99;7,64;;;;;
6;6079;Mandelieu-la-Napoule;0;0;0;0;0;0;0,0435;0,0382;0,0498;0,077;
6;6083;Menton;29266;18,02;15,61;23,31;;;;;;24,78;8,61
6;6085;Mougins;18412;14,95;12,44;51,05;14,86;12,01;;;;;
