Dép.;Siren;Nom du groupement;taxe d'habi- tation;foncier bâti;foncier non bâti;taxe profes- sionnelle;taxe profes- sionnelle sur zone d'activité économique
13;241300391;CU Marseille Provence Métropole;1,95;1,88;2,26;23,43;
29;242900314;CU de Brest Métropole Océane;2,35;2,19;4,32;20,13;
33;243300316;CU de Bordeaux;;;;25,52;
44;244400404;CU Nantes Métropole;;;;21,41;
50;245000237;CU de Cherbourg;8,13;10,95;27,16;6,25;17,52
54;245400676;CU du Grand Nancy;7,57;7,81;9,98;20,7;
59;245900410;CU de Lille Métropole;;;;22,93;
59;245900428;CU de Dunkerque Grand Littoral;;;;24,46;
61;246100663;CU d’Alençon;7,48;10,59;22,12;5,7;10,45
62;246201032;CU d'Arras;4,51;5,12;12,16;18,27;
67;246700488;CU de Strasbourg;;;;18,52;
69;246900245;CU de Lyon (COURLY);;;;20,01;
71;247100290;CU Le Creusot - Montceau les Mines;;;;15,32;
72;247200132;CU Le Mans Métropole;8,7;11,22;17,68;6,9;15,89

