Dép.;Siren;Nom du groupement;Taxe d'habitation;Taxe du foncier bâti;Taxe du foncier non bâti;Taxe profession-nelle;Taxe profession-nelle sur zone d'activité économique
13;241300391;CU Marseille Provence Métropole;1,95;1,88;2,26;23,43;
29;242900314;CU de Brest Métropole Océane;3,08;2,87;5,66;20,13;
33;243300316;CU de Bordeaux;;;;25,52;
44;244400404;CU Nantes Métropole;;;;21,62;
50;245000237;CU de Cherbourg;8,13;10,95;27,16;6,25;17,52
54;245400676;CU du Grand Nancy;7,65;7,89;10,08;20,85;
59;245900410;CU de Lille Métropole;;;;23,21;
59;245900428;CU de Dunkerque Grand Littoral;;;;24,46;
61;246100663;CU d’Alençon;7,48;10,59;22,12;5,70;10,45
62;246201032;CU d'Arras;4,60;5,22;12,40;18,64;
67;246700488;CU de Strasbourg;;;;18,52;
69;246900245;CU du Grand Lyon;;;;20,09;
71;247100290;CU Le Creusot - Montceau les Mines;;;;15,32;
72;247200132;CU Le Mans Métropole;8,79;11,33;17,86;7,00;16,11
